bairro,lat,lng
Eastchester,40.88085230769231,-73.83472230769232
Edenwald,40.88803461538461,-73.83608692307692
Edgemere,40.59467545454545,-73.77372818181819
Elmhurst,40.73993611814346,-73.87870569620254
Eltingville,40.541043333333334,-74.15436333333334
Emerson Hill,40.607162,-74.12800999999999
Far Rockaway,40.597408620689656,-73.75450620689656
Fieldston,40.8919425,-73.90194166666667
Financial District,40.70690612903226,-74.00916733870967
Flatbush,40.64495351046699,-73.96051922705314
Flatiron District,40.74105225,-73.98841350000001
Flatlands,40.62554265060241,-73.93257578313253
Flushing,40.754883967136145,-73.81951089201878
Fordham,40.86322158730159,-73.8943592063492
Forest Hills,40.721642777777774,-73.84672479166666
Fort Greene,40.69018822085889,-73.97410271983641
Fort Hamilton,40.61895781818182,-74.03223527272726
Fort Wadsworth,40.59546,-74.06092
Fresh Meadows,40.7390734375,-73.788746875
Glendale,40.70078425925926,-73.8892062962963
Gowanus,40.67629947368421,-73.98865825910931
Gramercy,40.73557207100592,-73.98429849112425
Graniteville,40.62283,-74.16575333333334
Grant City,40.57893,-74.10933
Gravesend,40.595597794117644,-73.97689617647059
Great Kills,40.549969,-74.144807
Greenpoint,40.7279669147982,-73.95054533632286
Greenwich Village,40.73066278061224,-73.99856306122449
Grymes Hill,40.614848571428574,-74.09376285714286
Harlem,40.81602560195636,-73.948005579383
Hell's Kitchen,40.762156971399385,-73.99147516343209
Highbridge,40.83548962962963,-73.92785185185186
Hollis,40.71452,-73.76707642857143
Holliswood,40.7224525,-73.77063
Howard Beach,40.661451,-73.845106
Howland Hook,40.631294999999994,-74.17262
Huguenot,40.53946666666667,-74.17168
Hunts Point,40.81552222222222,-73.88808833333333
Inwood,40.86531611111111,-73.92471996031746
Jackson Heights,40.75174322580645,-73.88153715053764
Jamaica,40.685045844155844,-73.78834991341992
Jamaica Estates,40.718346315789475,-73.79042
Jamaica Hills,40.71358875,-73.7985025
Kensington,40.64171586206896,-73.97572068965518
Kew Gardens,40.7083015625,-73.830565
Kew Gardens Hills,40.724429615384615,-73.81922884615385
Kingsbridge,40.87679828571429,-73.90178942857142
Kips Bay,40.74181514893617,-73.9793955106383
Laurelton,40.67529277777778,-73.74460055555556
Lighthouse Hill,40.576795000000004,-74.13456
Little Italy,40.71880008264463,-73.9972290909091
Little Neck,40.764697999999996,-73.730012
Long Island City,40.7524518621974,-73.93820013035382
Longwood,40.82127806451613,-73.90244951612902
Lower East Side,40.718386871569706,-73.98781817782657
Manhattan Beach,40.579364999999996,-73.946535
Marble Hill,40.87574083333333,-73.91103833333334
Mariners Harbor,40.63317875,-74.15921625
Maspeth,40.729699,-73.899919
Melrose,40.821535,-73.91584900000001
Middle Village,40.716305806451615,-73.87912548387098
Midland Beach,40.57369666666667,-74.095325
Midtown,40.75487114563107,-73.97582011003236
Midwood,40.62020688073394,-73.95967211009174
Mill Basin,40.612382499999995,-73.91585
Morningside Heights,40.80834164739884,-73.96175826589595
Morris Heights,40.84913117647059,-73.91630176470589
Morris Park,40.85227933333333,-73.85538066666666
Morrisania,40.82828111111111,-73.9058561111111
Mott Haven,40.8109975,-73.9198715
Mount Eden,40.842063333333336,-73.91650166666666
Mount Hope,40.8484305,-73.9055175
Murray Hill,40.74743463917525,-73.97602859793815
Navy Yard,40.69982142857143,-73.97393571428572
Neponsit,40.57063,-73.85921666666667
New Brighton,40.642607999999996,-74.092958
New Dorp,40.57044,-74.11747
New Dorp Beach,40.564828,-74.102124
New Springville,40.5845125,-74.15781
NoHo,40.72700987179487,-73.99305166666666
Nolita,40.722145652173914,-73.99508252964426
North Riverdale,40.907599,-73.898328
Norwood,40.87503580645161,-73.87942096774194
Oakwood,40.560512,-74.11859999999999
Olinville,40.883655,-73.86451
Ozone Park,40.68123887096774,-73.84736258064515
Park Slope,40.6741683201581,-73.97895359683794
Parkchester,40.83565,-73.8638717948718
Pelham Bay,40.84935,-73.83207647058823
Pelham Gardens,40.86368392857143,-73.84316
Port Morris,40.80673391304348,-73.9266202173913
Port Richmond,40.63314888888888,-74.13383222222222
Prince's Bay,40.5257,-74.201255
Prospect Heights,40.67753243697479,-73.96805361344538
Prospect-Lefferts Gardens,40.659284953271026,-73.95527491588784
Queens Village,40.71459383333333,-73.74315366666666
Randall Manor,40.632749473684214,-74.12150421052631
Red Hook,40.67721012658228,-74.00979632911393
Rego Park,40.72680462264151,-73.86168273584906
Richmond Hill,40.69398457446809,-73.83000361702128
Richmondtown,40.57093,-74.12429
Ridgewood,40.70407765957447,-73.90590231678487
Riverdale,40.88735181818182,-73.91206363636364
Rockaway Beach,40.58743357142857,-73.8137830357143
Roosevelt Island,40.763282987012985,-73.9485561038961
Rosebank,40.61214857142857,-74.07099142857143
Rosedale,40.65946898305084,-73.73445610169492
Rossville,40.5479,-74.21017
Schuylerville,40.83585769230769,-73.83347
Sea Gate,40.57711857142857,-74.00872000000001
Sheepshead Bay,40.59623030487805,-73.95208219512195
Shore Acres,40.608822857142854,-74.06672428571427
Silver Lake,40.623395,-74.09649999999999
SoHo,40.72437955307263,-74.00202427374302
Soundview,40.826920666666666,-73.86991266666668
South Beach,40.59120125,-74.08733125
South Ozone Park,40.67225925,-73.804218
South Slope,40.66492566901409,-73.98542095070422
Springfield Gardens,40.66768988235294,-73.76242811764706
Spuyten Duyvil,40.88109,-73.916775
St. Albans,40.69566763157894,-73.76206763157894
St. George,40.643308125,-74.08182270833333
Stapleton,40.632663333333326,-74.07849518518518
Stuyvesant Town,40.731838918918925,-73.97830351351352
Sunnyside,40.74241371900826,-73.92070933884297
Sunset Park,40.65252517948718,-74.00340964102564
Theater District,40.7598365625,-73.98549086805556
Throgs Neck,40.824156249999994,-73.82177791666668
Todt Hill,40.603375,-74.110105
Tompkinsville,40.633134523809524,-74.08646476190476
Tottenville,40.507349999999995,-74.23939
Tremont,40.84367909090909,-73.89131363636363
Tribeca,40.71774378531073,-74.00740011299435
Two Bridges,40.71172722222222,-73.99578013888889
Unionport,40.828294285714286,-73.85246285714285
University Heights,40.85805809523809,-73.9101619047619
Upper East Side,40.77274807007786,-73.95473966073415
Upper West Side,40.78846260273973,-73.97373466260781
Van Nest,40.84326,-73.86715545454545
Vinegar Hill,40.70154676470588,-73.98331147058823
Wakefield,40.893178400000004,-73.8535778
Washington Heights,40.84449530589544,-73.93836130144605
West Brighton,40.63193222222222,-74.11595888888888
West Farms,40.84135,-73.878455
West Village,40.7343511328125,-74.004077890625
Westchester Square,40.839690000000004,-73.846981
Westerleigh,40.613895,-74.13366500000001
Whitestone,40.78423818181818,-73.81864999999999
Williamsbridge,40.87893525,-73.85814675
Williamsburg,40.71256288520408,-73.95185375510205
Willowbrook,40.59886,-74.13217
Windsor Terrace,40.65461184713376,-73.97798974522293
Woodhaven,40.691967727272726,-73.8582325
Woodlawn,40.897420909090904,-73.86793909090909
Woodrow,40.53884,-74.19826
Woodside,40.7459250212766,-73.9027229787234
