bairro_group,lat,lng
Bronx,40.84830495875344,-73.88455175068745
Brooklyn,40.685038089837334,-73.95118895537979
Manhattan,40.76506240709109,-73.97460674299431
Queens,40.73153123367455,-73.87277467525591
Staten Island,40.610224745308315,-74.1058054691689
